# Celestial Object Visibility Report
# Location: Lat=31.5473, Lon=-99.3827, Alt=446m
# Timezone: America/Chicago
# Evening Twilight Ends:    2025-08-23 21:37:07 CDT  (LST: 18:10:08)  East RA: 22 24 03.7  West RA: 13 53 41.3
# Sun Anti-Meridian:        2025-08-24 01:40:05 CDT  (LST: 22:13:46)  East RA: 02 27 33.7  West RA: 17 57 23.5
# Morning Twilight Begins:  2025-08-24 05:43:04 CDT  (LST: 2:17:25)  East RA: 06 31 09.8  West RA: 22 00 56.8
# Total Observable Objects in Report: 73
# Altitude Threshold: > 30.0 deg
# Objects included if: above 30° at evening twilight, OR transit is observable and above 30°, OR above 30° at morning twilight.
# Includes standard Messier objects and any custom objects defined in custom_objects.json.
# Times are based on direct astroplan calculations for the specified horizon.
# Times marked with '*' occur before evening twilight (rise) or after morning twilight (set).
# 'Circumpolar' indicates object remains above 30.0° for the entire night period.
#
Object               RA (J2000)   Dec (J2000)  Rise > 30°      Transit         Max Alt  Set < 30°      
=======================================================================================================
M110                 00 40 22.1   +41 41 08    23:03:35 CDT    04:07:42 CDT    79.7°    09:11:49 CDT*  
M32                  00 42 41.8   +40 51 55    23:07:16 CDT    04:10:02 CDT    80.5°    09:12:47 CDT*  
M31                  00 42 44.3   +41 16 07    23:06:39 CDT    04:10:04 CDT    80.1°    09:13:30 CDT*  
SA20                 00 45 51.2   +45 53 06    23:02:14 CDT    04:13:12 CDT    75.5°    09:24:10 CDT*  
SA92                 00 55 15.5   +00 47 26    00:43:58 CDT    04:22:28 CDT    59.4°    08:00:58 CDT*  
M103                 01 33 21.4   +60 39 32    23:25:42 CDT    05:00:51 CDT    60.8°    10:36:01 CDT*  
M33                  01 33 50.9   +30 39 37    00:15:49 CDT    05:01:00 CDT    89.2°    09:46:20 CDT*  
M74                  01 36 41.7   +15 47 01    00:47:42 CDT    05:03:51 CDT    74.4°    09:20:00 CDT*  
M76                  01 42 19.7   +51 34 32    23:49:34 CDT    05:09:43 CDT    69.8°    10:29:52 CDT*  
M34                  02 42 07.4   +42 43 19    01:03:36 CDT    06:09:22 CDT    78.7°    11:15:08 CDT*  
