# Celestial Object Visibility Report
# Location: Lat=31.5473, Lon=-99.3827, Alt=446m
# Timezone: America/Chicago
# Evening Twilight Ends:    2025-11-03 19:08:53 CST  (LST: 21:25:31)  East RA: 03 24 10.2  West RA: 15 24 12.9
# Sun Anti-Meridian:        2025-11-04 00:21:15 CST  (LST: 2:38:45)  East RA: 08 37 24.9  West RA: 20 37 25.1
# Morning Twilight Begins:  2025-11-04 05:33:37 CST  (LST: 7:51:58)  East RA: 13 50 39.8  West RA: 01 50 37.3
# Total Observable Objects in Report: 110
# Altitude Threshold: > 0.0 deg
# Objects included if: above 30° at evening twilight, OR transit is observable and above 30°, OR above 30° at morning twilight.
# Includes standard Messier objects and any custom objects defined in custom_objects.json.
# Times are based on direct astroplan calculations for the specified horizon.
# Times marked with '*' occur before evening twilight (rise) or after morning twilight (set).
# 'Circumpolar' indicates object remains above 0.0° for the entire night period.
#
Object               RA (J2000)   Dec (J2000)  Rise > 30°      Transit         Max Alt  Set < 30°      
=======================================================================================================
M110                 00 40 22.1   +41 41 08    14:12:38 CST*   22:24:37 CST    79.7°    06:36:37 CST*  
M32                  00 42 41.8   +40 51 55    14:19:12 CST*   22:26:57 CST    80.5°    06:34:42 CST*  
M31                  00 42 44.3   +41 16 07    14:17:11 CST*   22:27:00 CST    80.1°    06:36:48 CST*  
M103                 01 33 21.4   +60 39 32    N/A             23:17:48 CST    60.8°    N/A            
M33                  01 33 50.9   +30 39 37    15:53:22 CST*   23:17:53 CST    89.2°    06:42:39 CST*  
M74                  01 36 41.7   +15 47 01    16:41:32 CST*   23:20:47 CST    74.4°    06:00:01 CST*  
M76                  01 42 19.7   +51 34 32    14:04:00 CST*   23:26:39 CST    69.8°    08:49:17 CST*  
M34                  02 42 07.4   +42 43 19    16:08:54 CST*   00:26:45 CST    78.7°    08:43:44 CST*  
M77                  02 42 40.7   -00 00 48    18:27:15 CST*   00:26:52 CST    58.6°    06:25:46 CST*  
M45                  03 46 24.2   +24 06 50    18:27:23 CST*   01:30:17 CST    82.6°    08:33:11 CST*  
M79                  05 24 10.6   -24 31 27    22:13:06 CST    03:07:19 CST    34.0°    08:01:31 CST*  
M38                  05 28 40.1   +35 49 26    19:28:25 CST    03:12:28 CST    85.7°    10:56:31 CST*  
M1                   05 34 31.8   +22 01 03    20:21:43 CST    03:18:07 CST    80.5°    10:14:32 CST*  
M42                  05 35 16.8   -05 23 15    21:32:46 CST    03:18:35 CST    53.1°    09:04:25 CST*  
M43                  05 35 31.0   -05 16 12    21:32:43 CST    03:18:49 CST    53.2°    09:04:56 CST*  
M36                  05 36 20.2   +34 08 06    19:42:53 CST    03:20:06 CST    87.4°    10:57:17 CST*  
M78                  05 46 45.8   +00 04 45    21:30:51 CST    03:30:06 CST    58.5°    09:29:20 CST*  
M37                  05 52 17.8   +32 32 42    20:04:55 CST    03:36:01 CST    89.0°    11:07:02 CST*  
M35                  06 09 05.3   +24 20 10    20:49:18 CST    03:52:37 CST    82.8°    10:55:56 CST*  
M41                  06 45 59.8   -20 42 58    23:23:33 CST    04:28:57 CST    37.7°    09:34:20 CST*  
M50                  07 02 44.2   -08 21 54    23:07:30 CST    04:45:46 CST    50.1°    10:24:02 CST*  
M47                  07 36 35.3   -14 29 20    23:57:01 CST    05:19:28 CST    43.9°    10:41:56 CST*  
M46                  07 41 46.8   -14 50 38    00:03:08 CST    05:24:39 CST    43.6°    10:46:09 CST*  
M93                  07 44 33.8   -23 51 11    00:31:19 CST    05:27:20 CST    34.5°    10:23:20 CST*  
M48                  08 13 38.9   -05 43 34    00:11:46 CST    05:56:31 CST    52.7°    11:41:16 CST*  
M44                  08 40 13.0   +19 37 16    23:34:01 CST    06:23:13 CST    78.0°    13:12:24 CST*  
M67                  08 51 23.0   +11 48 50    00:06:05 CST    06:34:17 CST    70.2°    13:02:29 CST*  
M81                  09 55 33.2   +69 03 55    N/A             07:38:58 CST    52.6°    N/A            
M82                  09 55 52.4   +69 40 47    N/A             07:39:18 CST    52.0°    N/A            
M95                  10 43 57.7   +11 42 13    01:58:41 CST    08:26:30 CST    70.0°    14:54:19 CST*  
M96                  10 46 45.7   +11 49 12    02:01:10 CST    08:29:17 CST    70.1°    14:57:24 CST*  
M105                 10 47 49.6   +12 34 54    02:00:16 CST    08:30:21 CST    70.9°    15:00:26 CST*  
M108                 11 11 31.0   +55 40 27    22:42:05 CST    08:54:07 CST    66.0°    19:06:08 CST*  
M97                  11 14 47.7   +55 01 08    22:55:53 CST    08:57:22 CST    66.7°    18:58:50 CST*  
M65                  11 18 55.9   +13 05 32    02:29:57 CST    09:01:21 CST    71.4°    15:32:45 CST*  
M66                  11 20 15.0   +12 59 29    02:31:32 CST    09:02:40 CST    71.3°    15:33:48 CST*  
M109                 11 57 36.0   +53 22 29    00:00:31 CST    09:39:54 CST    68.3°    19:19:16 CST*  
M98                  12 13 48.3   +14 54 02    03:19:54 CST    09:56:02 CST    73.2°    16:32:11 CST*  
M99                  12 18 49.6   +14 25 00    03:26:11 CST    10:01:03 CST    72.7°    16:35:54 CST*  
M106                 12 18 57.6   +47 18 13    01:16:45 CST    10:01:08 CST    74.4°    18:45:31 CST*  
M61                  12 21 54.9   +04 28 26    03:54:29 CST    10:04:08 CST    62.8°    16:13:47 CST*  
M40                  12 22 12.0   +58 04 59    22:51:54 CST    10:04:19 CST    63.6°    21:16:45 CST*  
M100                 12 22 54.9   +15 49 20    03:26:31 CST    10:05:07 CST    74.1°    16:43:43 CST*  
M84                  12 25 03.7   +12 53 13    03:36:24 CST    10:07:15 CST    71.2°    16:38:07 CST*  
M85                  12 25 24.1   +18 11 28    03:22:32 CST    10:07:35 CST    76.5°    16:52:38 CST*  
M86                  12 26 11.8   +12 56 45    03:37:23 CST    10:08:23 CST    71.3°    16:39:24 CST*  
M49                  12 29 46.8   +08 00 01    03:53:33 CST    10:11:58 CST    66.3°    16:30:22 CST*  
M87                  12 30 49.4   +12 23 28    03:43:26 CST    10:13:00 CST    70.7°    16:42:34 CST*  
M88                  12 31 59.2   +14 25 13    03:39:17 CST    10:14:09 CST    72.7°    16:49:02 CST*  
M91                  12 35 26.4   +14 29 47    03:42:31 CST    10:17:36 CST    72.8°    16:52:40 CST*  
M89                  12 35 39.8   +12 33 23    03:47:49 CST    10:17:49 CST    70.9°    16:47:49 CST*  
M90                  12 36 49.8   +13 09 47    03:47:24 CST    10:18:59 CST    71.5°    16:50:34 CST*  
M58                  12 37 43.5   +11 49 06    03:51:47 CST    10:19:53 CST    70.1°    16:47:59 CST*  
M68                  12 39 28.0   -26 44 39    05:35:00 CST    10:21:41 CST    31.6°    15:08:21 CST*  
M104                 12 39 59.4   -11 37 23    04:52:28 CST    10:22:11 CST    46.7°    15:51:53 CST*  
M59                  12 42 02.3   +11 38 49    03:56:31 CST    10:24:11 CST    70.0°    16:51:50 CST*  
M60                  12 43 40.0   +11 33 10    03:58:23 CST    10:25:48 CST    69.9°    16:53:13 CST*  
