# Celestial Object Visibility Report
# Location: Lat=31.5473, Lon=-99.3827, Alt=446m
# Timezone: America/Chicago
# Evening Twilight Ends:    2025-11-11 19:04:10 CST  (LST: 21:52:20)  East RA: 02 06 06.7  West RA: 17 35 58.4
# Sun Anti-Meridian:        2025-11-12 00:21:47 CST  (LST:  3:10:50)  East RA: 07 24 33.1  West RA: 22 54 20.1
# Morning Twilight Begins:  2025-11-12 05:39:25 CST  (LST:  8:29:20)  East RA: 12 43 15.2  West RA: 04 12 38.0
# Total Observable Objects in Report: 88
# Altitude Threshold: > 30.0 deg
# Objects included if: above 30° at evening twilight, OR transit is observable and above 30°, OR above 30° at morning twilight.
# Includes standard Messier objects and any custom objects defined in custom_objects.json.
# Times are based on direct astroplan calculations for the specified horizon.
# Times marked with '*' occur before evening twilight (rise) or after morning twilight (set).
# 'Circumpolar' indicates object remains above 30.0° for the entire night period.
#
Object               RA (J2000)   Dec (J2000)  Rise > 30°      Transit         Max Alt  Set < 30°      
M86                  12 26 11.8   +12 56 45    05:27:43 CST    09:36:56 CST    71.3°    13:46:09 CST*  
M87                  12 30 49.4   +12 23 28    05:33:37 CST    09:41:33 CST    70.7°    13:49:29 CST*  
M88                  12 31 59.2   +14 25 13    05:30:09 CST    09:42:42 CST    72.7°    13:55:15 CST*  
M91                  12 35 26.4   +14 29 47    05:33:26 CST    09:46:09 CST    72.8°    13:58:52 CST*  
M89                  12 35 39.8   +12 33 23    05:38:03 CST    09:46:22 CST    70.9°    13:54:41 CST*  
M90                  12 36 49.8   +13 09 47    05:37:49 CST    09:47:32 CST    71.5°    13:57:15 CST*  
M94                  12 50 53.1   +41 07 13    04:58:45 CST    10:01:28 CST    80.6°    15:04:10 CST*  
M63                  13 15 49.3   +42 01 46    05:22:03 CST    10:26:16 CST    79.7°    15:30:29 CST*  
M51                  13 29 52.7   +47 11 43    05:27:34 CST    10:40:13 CST    74.5°    15:52:52 CST*  
PG 1648+536          16 49 59.9   +53 29 16    08:40:14 CST*   14:03:12 CST    68.1°    19:26:11 CST   
M92                  17 17 07.4   +43 08 09    09:24:15 CST*   14:30:28 CST    78.4°    19:36:42 CST   
SA110                18 42 20.5   +00 11 05    12:19:39 CST*   15:56:00 CST    58.7°    19:32:21 CST   
SA38                 18 49 12.5   +45 15 42    10:52:29 CST*   16:02:16 CST    76.3°    21:12:03 CST   
M11                  18 51 03.8   -06 16 19    12:49:41 CST*   16:04:46 CST    52.2°    19:19:50 CST   
M57                  18 53 35.1   +33 01 45    11:17:34 CST*   16:06:53 CST    88.5°    20:56:07 CST   
SA39                 19 01 04.0   +45 16 00    11:04:18 CST*   16:14:06 CST    76.2°    21:23:55 CST   
SA40                 19 07 48.0   +45 17 00    11:10:59 CST*   16:20:50 CST    76.2°    21:30:40 CST   
SA41                 19 14 32.0   +45 18 00    11:17:40 CST*   16:27:33 CST    76.2°    21:37:25 CST   
M56                  19 16 35.6   +30 11 00    11:45:35 CST*   16:29:47 CST    88.7°    21:14:06 CST   
M71                  19 53 46.5   +18 46 45    12:44:42 CST*   17:07:04 CST    77.3°    21:29:26 CST   
M27                  19 59 36.4   +22 43 16    12:42:32 CST*   17:12:51 CST    81.2°    21:43:10 CST   
M75                  20 06 04.8   -21 55 20    15:25:47 CST*   17:19:43 CST    36.6°    19:13:39 CST   
M29                  20 23 46.3   +38 29 13    12:38:04 CST*   17:36:47 CST    83.0°    22:35:30 CST   
M72                  20 53 27.7   -12 32 14    15:16:59 CST*   18:06:52 CST    46.0°    20:56:45 CST   
M73                  20 59 00.0   -12 37 59    15:22:56 CST*   18:12:23 CST    45.9°    21:01:51 CST   
M15                  21 29 58.3   +12 10 01    14:35:06 CST*   18:43:07 CST    70.7°    22:51:08 CST   
M39                  21 31 33.4   +48 14 49    13:29:37 CST*   18:44:22 CST    73.2°    23:59:08 CST   
M2                   21 33 27.0   -00 49 24    15:13:06 CST*   18:46:40 CST    57.7°    22:20:13 CST   
M30                  21 40 22.1   -23 10 47    17:10:09 CST*   18:53:42 CST    35.4°    20:37:15 CST   
SA113                21 42 07.6   +00 22 31    15:18:06 CST*   18:55:18 CST    58.9°    22:32:30 CST   
SA114                22 01 04.0   +00 23 30    15:36:56 CST*   19:14:12 CST    59.0°    22:51:28 CST   
EE Cep               22 09 22.8   +55 45 24    13:55:08 CST*   19:22:05 CST    65.7°    00:49:03 CST   
NSVS 3350218         22 11 14.5   +66 02 16    13:38:56 CST*   19:23:45 CST    55.4°    01:08:33 CST   
ASAS J221652+2229.6  22 16 52.2   +22 29 34    14:59:52 CST*   19:29:51 CST    81.1°    23:59:50 CST   
M52                  23 24 46.8   +61 35 24    15:00:44 CST*   20:37:32 CST    59.8°    02:14:19 CST   
SA115                23 42 53.1   +01 05 49    17:16:20 CST*   20:55:45 CST    59.7°    00:35:09 CST   
ASAS J235139+2549.5  23 51 38.9   +25 49 30    16:28:03 CST*   21:04:29 CST    84.4°    01:40:54 CST   
NGC 7790             23 58 24.0   +61 12 30    15:35:05 CST*   21:11:13 CST    60.2°    02:47:21 CST   
