# Celestial Object Visibility Report
# Location: Lat=31.5473, Lon=-99.3827, Alt=446m
# Timezone: America/Chicago
# Evening Twilight Ends:    2025-08-25 21:34:20 CDT  (LST: 18:15:14)  East RA: 22 29 09.5  West RA: 13 58 47.4
# Sun Anti-Meridian:        2025-08-26 01:39:32 CDT  (LST: 22:21:06)  East RA: 02 34 53.4  West RA: 18 04 43.4
# Morning Twilight Begins:  2025-08-26 05:44:44 CDT  (LST: 2:26:59)  East RA: 06 40 43.7  West RA: 22 10 30.3
# Total Observable Objects in Report: 57
# Altitude Threshold: > 30.0 deg
# Objects included if: above 30° at evening twilight, OR transit is observable and above 30°, OR above 30° at morning twilight.
# Includes standard Messier objects and any custom objects defined in custom_objects.json.
# Times are based on direct astroplan calculations for the specified horizon.
# Times marked with '*' occur before evening twilight (rise) or after morning twilight (set).
# 'Circumpolar' indicates object remains above 30.0° for the entire night period.
#
Object               RA (J2000)   Dec (J2000)  Rise > 30°      Transit         Max Alt  Set < 30°      
=======================================================================================================
M110                 00 40 22.1   +41 41 08    22:55:44 CDT    03:59:50 CDT    79.7°    09:03:57 CDT*  
M32                  00 42 41.8   +40 51 55    22:59:24 CDT    04:02:10 CDT    80.5°    09:04:55 CDT*  
M31                  00 42 44.3   +41 16 07    22:58:47 CDT    04:02:12 CDT    80.1°    09:05:38 CDT*  
M103                 01 33 21.4   +60 39 32    23:17:50 CDT    04:53:00 CDT    60.8°    10:28:09 CDT*  
M33                  01 33 50.9   +30 39 37    00:07:57 CDT    04:53:05 CDT    89.2°    09:38:29 CDT*  
M74                  01 36 41.7   +15 47 01    00:39:50 CDT    04:55:59 CDT    74.4°    09:12:08 CDT*  
M76                  01 42 19.7   +51 34 32    23:41:42 CDT    05:01:51 CDT    69.8°    10:22:00 CDT*  
M34                  02 42 07.4   +42 43 19    00:55:45 CDT    06:01:30 CDT    78.7°    11:07:16 CDT*  
M77                  02 42 40.7   -00 00 48    02:25:42 CDT    06:01:43 CDT    58.6°    09:37:44 CDT*  
M45                  03 46 24.2   +24 06 50    02:32:26 CDT    07:05:28 CDT    82.6°    11:38:31 CDT*  
M38                  05 28 40.1   +35 49 26    03:53:33 CDT    08:47:39 CDT    85.7°    13:41:44 CDT*  
M1                   05 34 31.8   +22 01 03    04:24:29 CDT    08:53:19 CDT    80.5°    13:22:08 CDT*  
M42                  05 35 16.8   -05 23 15    05:35:35 CDT    08:53:47 CDT    53.1°    12:11:59 CDT*  
M43                  05 35 31.0   -05 16 12    05:35:24 CDT    08:54:01 CDT    53.2°    12:12:38 CDT*  
M36                  05 36 20.2   +34 08 06    04:04:06 CDT    08:55:17 CDT    87.4°    13:46:27 CDT*  
M78                  05 46 45.8   +00 04 45    05:29:18 CDT    09:05:17 CDT    58.5°    12:41:16 CDT*  
M37                  05 52 17.8   +32 32 42    04:22:47 CDT    09:11:14 CDT    89.0°    13:59:33 CDT*  
M35                  06 09 05.3   +24 20 10    04:54:30 CDT    09:27:48 CDT    82.8°    14:01:07 CDT*  
M63                  13 15 49.3   +42 01 46    11:32:39 CDT*   16:36:53 CDT    79.7°    21:41:06 CDT   
M51                  13 29 52.7   +47 11 43    11:38:10 CDT*   16:50:50 CDT    74.5°    22:03:29 CDT   
M3                   13 42 11.6   +28 22 38    12:22:33 CDT*   17:03:12 CDT    86.7°    21:43:53 CDT   
M101                 14 03 12.6   +54 20 56    11:59:39 CDT*   17:23:54 CDT    67.3°    22:48:09 CDT   
M102                 15 06 29.6   +55 45 48    13:00:13 CDT*   18:26:49 CDT    65.9°    23:53:25 CDT   
