# Celestial Object Visibility Report
# Location: Lat=31.5473, Lon=-99.3827, Alt=446m
# Timezone: America/Chicago
# Evening Twilight Ends:    2025-07-18 22:17:29 CDT  (LST: 16:28:41)  East RA: 20 42 40.2  West RA: 12 12 10.5
# Sun Anti-Meridian:        2025-07-19 01:43:58 CDT  (LST: 19:55:44)  East RA: 00 09 36.9  West RA: 15 39 19.7
# Morning Twilight Begins:  2025-07-19 05:10:28 CDT  (LST: 23:22:47)  East RA: 03 36 34.2  West RA: 19 06 23.7
# Total Observable Objects in Report: 87
# Altitude Threshold: > 30.0 deg
# Objects included if: above 30° at evening twilight, OR transit is observable and above 30°, OR above 30° at morning twilight.
# Includes standard Messier objects and any custom objects defined in custom_objects.json.
# Times are based on direct astroplan calculations for the specified horizon.
# Times marked with '*' occur before evening twilight (rise) or after morning twilight (set).
# 'Circumpolar' indicates object remains above 30.0° for the entire night period.
#
Object               RA (J2000)   Dec (J2000)  Rise > 30°      Transit         Max Alt  Set < 30°      
=======================================================================================================
M110                 00 40 22.1   +41 41 08    01:25:07 CDT    06:29:14 CDT    79.7°    11:33:21 CDT*  
M32                  00 42 41.8   +40 51 55    01:28:48 CDT    06:31:34 CDT    80.5°    11:34:19 CDT*  
M31                  00 42 44.3   +41 16 07    01:28:10 CDT    06:31:37 CDT    80.1°    11:35:01 CDT*  
SA20                 00 45 51.2   +45 53 06    01:23:45 CDT    06:34:43 CDT    75.5°    11:45:42 CDT*  
SA92                 00 55 15.5   +00 47 26    03:05:31 CDT    06:44:00 CDT    59.4°    10:22:29 CDT*  
M103                 01 33 21.4   +60 39 32    01:47:13 CDT    07:22:22 CDT    60.8°    12:57:32 CDT*  
M33                  01 33 50.9   +30 39 37    02:37:20 CDT    07:22:29 CDT    89.2°    12:07:52 CDT*  
M74                  01 36 41.7   +15 47 01    03:09:14 CDT    07:25:22 CDT    74.4°    11:41:31 CDT*  
M76                  01 42 19.7   +51 34 32    02:11:05 CDT    07:31:14 CDT    69.8°    12:51:23 CDT*  
M34                  02 42 07.4   +42 43 19    03:25:07 CDT    08:30:53 CDT    78.7°    13:36:40 CDT*  
M77                  02 42 40.7   -00 00 48    04:55:07 CDT    08:31:06 CDT    58.5°    12:07:06 CDT*  
M45                  03 46 24.2   +24 06 50    05:01:50 CDT    09:34:54 CDT    82.6°    14:07:54 CDT*  
M108                 11 11 31.0   +55 40 27    11:36:16 CDT*   17:02:39 CDT    66.0°    22:29:03 CDT   
M97                  11 14 47.7   +55 01 08    11:40:35 CDT*   17:05:55 CDT    66.7°    22:31:14 CDT   
M109                 11 57 36.0   +53 22 29    12:25:49 CDT*   17:48:28 CDT    68.3°    23:11:06 CDT   
M98                  12 13 48.3   +14 54 02    13:50:59 CDT*   18:04:36 CDT    73.2°    22:18:13 CDT   
M99                  12 18 49.6   +14 25 00    13:57:04 CDT*   18:09:36 CDT    72.7°    22:22:09 CDT   
M106                 12 18 57.6   +47 18 13    12:56:53 CDT*   18:09:42 CDT    74.4°    23:22:32 CDT   
