# Celestial Object Visibility Report
# Location: Lat=31.5473, Lon=-99.3827, Alt=446m
# Timezone: America/Chicago
# Evening Twilight Ends:    2025-12-10 19:01:16 CST  (LST: 23:43:46)  East RA: 03 57 29.4  West RA: 19 27 23.9
# Sun Anti-Meridian:        2025-12-11 00:30:47 CST  (LST: 05:14:12)  East RA: 09 27 57.3  West RA: 00 57 36.2
# Morning Twilight Begins:  2025-12-11 06:00:18 CST  (LST: 10:44:37)  East RA: 14 58 36.7  West RA: 06 27 53.4
# Total Observable Objects in Report: 95
# Altitude Threshold: > 30.0 deg
# Objects included if: above 30° at evening twilight, OR transit is observable and above 30°, OR above 30° at morning twilight.
# Includes standard Messier objects and any custom objects defined in custom_objects.json.
# Times are based on direct astroplan calculations for the specified horizon.
# Times marked with '*' occur before evening twilight (rise) or after morning twilight (set).
# 'Circumpolar' indicates object remains above 30.0° for the entire night period.
#
Object               RA (J2000)   Dec (J2000)  Rise > 30°      Transit         Max Alt  Set < 30°      
=======================================================================================================
M110                 00 40 22.1   +41 41 08    14:55:01 CST*   19:59:08 CST    79.7°    01:03:16 CST   
M32                  00 42 41.8   +40 51 55    14:58:42 CST*   20:01:28 CST    80.5°    01:04:14 CST   
M31                  00 42 44.3   +41 16 07    14:58:04 CST*   20:01:30 CST    80.1°    01:04:57 CST   
SA20                 00 45 51.2   +45 53 06    14:53:39 CST*   20:04:38 CST    75.5°    01:15:37 CST   
SA92                 00 55 15.5   +00 47 26    16:35:24 CST*   20:13:54 CST    59.4°    23:52:24 CST   
M103                 01 33 21.4   +60 39 32    15:17:08 CST*   20:52:19 CST    60.8°    02:27:29 CST   
M33                  01 33 50.9   +30 39 37    16:07:15 CST*   20:52:37 CST    89.2°    01:37:48 CST   
M74                  01 36 41.7   +15 47 01    16:39:08 CST*   20:55:18 CST    74.4°    01:11:27 CST   
M76                  01 42 19.7   +51 34 32    15:41:00 CST*   21:01:10 CST    69.8°    02:21:20 CST   
M34                  02 42 07.4   +42 43 19    16:55:04 CST*   22:00:50 CST    78.7°    03:06:36 CST   
M77                  02 42 40.7   -00 00 48    18:25:02 CST*   22:01:02 CST    58.6°    01:37:03 CST   
Algol                03 08 10.1   +40 57 20    17:23:59 CST*   22:26:50 CST    80.5°    03:29:41 CST   
M45                  03 46 24.2   +24 06 50    18:31:46 CST*   23:04:49 CST    82.6°    03:37:51 CST   
SA95                 03 54 26.8   +00 13 48    19:35:59 CST    23:12:37 CST    58.8°    02:49:15 CST   
M79                  05 24 10.6   -24 31 27    23:12:30 CST    00:41:51 CST    34.0°    02:11:11 CST   
M38                  05 28 40.1   +35 49 26    19:52:54 CST    00:47:00 CST    85.7°    05:41:05 CST   
M1                   05 34 31.8   +22 01 03    20:23:50 CST    00:52:40 CST    80.5°    05:21:29 CST   
M42                  05 35 16.8   -05 23 15    21:34:56 CST    00:53:07 CST    53.1°    04:11:19 CST   
M43                  05 35 31.0   -05 16 12    21:34:45 CST    00:53:21 CST    53.2°    04:11:58 CST   
M36                  05 36 20.2   +34 08 06    20:03:27 CST    00:54:38 CST    87.4°    05:45:48 CST   
M78                  05 46 45.8   +00 04 45    21:28:39 CST    01:04:38 CST    58.5°    04:40:37 CST   
M37                  05 52 17.8   +32 32 42    20:22:08 CST    01:10:34 CST    89.0°    05:58:54 CST   
M35                  06 09 05.3   +24 20 10    20:53:51 CST    01:27:09 CST    82.8°    06:00:27 CST*  
M41                  06 45 59.8   -20 42 58    00:01:02 CST    02:03:29 CST    37.7°    04:05:55 CST   
SA98                 06 52 03.5   -00 19 27    22:35:06 CST    02:09:44 CST    58.1°    05:44:22 CST   
M50                  07 02 44.2   -08 21 54    23:13:22 CST    02:20:18 CST    50.1°    05:27:14 CST   
M47                  07 36 35.3   -14 29 20    00:14:14 CST    02:54:01 CST    43.9°    05:33:47 CST   
M46                  07 41 46.8   -14 50 38    00:21:14 CST    02:59:11 CST    43.5°    05:37:08 CST   
M93                  07 44 33.8   -23 51 11    01:26:25 CST    03:01:52 CST    34.5°    04:37:19 CST   
