# Celestial Object Visibility Report
# Location: Lat=31.5473, Lon=-99.3827, Alt=446m
# Timezone: America/Chicago
# Observation Window (Astronomical Twilight): 2025-07-01 22:25:14 CDT to 2025-07-02 04:58:06 CDT
# LST Range: 15:29:25 to 22:03:22
# Sun Anti-Meridian (Approx. Local Midnight): 2025-07-02 01:41:40 CDT (LST: 18:46:24)
# Total Observable Objects in Report: 80
# Altitude Threshold: > 30.0 deg
# Objects included if: above 30° at evening twilight, OR transit is observable and above 30°, OR above 30° at morning twilight.
# Includes standard Messier objects and any custom objects defined in .env (ADDITIONAL_OBJECTS).
# Times are based on direct astroplan calculations for the specified horizon.
# Times marked with '*' occur before evening twilight (rise) or after morning twilight (set).
# 'Circumpolar' indicates object remains above 30.0° for the entire night period.
#
Object               RA (J2000)   Dec (J2000)  Rise > 30°      Transit         Max Alt  Set < 30°      
=======================================================================================================
M110                 00 40 22.1   +41 41 08    02:31:57 CDT    07:36:04 CDT    79.7°    12:40:10 CDT*  
M32                  00 42 41.8   +40 51 55    02:35:38 CDT    07:38:24 CDT    80.5°    12:41:09 CDT*  
M31                  00 42 44.3   +41 16 07    02:35:00 CDT    07:38:26 CDT    80.1°    12:41:51 CDT*  
M103                 01 33 21.4   +60 39 32    02:54:02 CDT    08:29:12 CDT    60.8°    14:04:22 CDT*  
M33                  01 33 50.9   +30 39 37    03:44:10 CDT    08:28:54 CDT    89.2°    13:14:42 CDT*  
M74                  01 36 41.7   +15 47 01    04:16:04 CDT    08:32:12 CDT    74.4°    12:48:21 CDT*  
M76                  01 42 19.7   +51 34 32    03:17:55 CDT    08:38:03 CDT    69.8°    13:58:12 CDT*  
M34                  02 42 07.4   +42 43 19    04:31:57 CDT    09:37:43 CDT    78.7°    14:43:29 CDT*  
M81                  09 55 33.2   +69 03 55    11:04:03 CDT*   16:54:19 CDT    52.6°    22:44:36 CDT   
M82                  09 55 52.4   +69 40 47    11:03:07 CDT*   16:54:40 CDT    52.0°    22:46:13 CDT   
M108                 11 11 31.0   +55 40 27    12:43:07 CDT*   18:09:30 CDT    66.0°    23:35:54 CDT   
M97                  11 14 47.7   +55 01 08    12:47:26 CDT*   18:12:46 CDT    66.7°    23:38:05 CDT   
M65                  11 18 55.9   +13 05 32    14:07:11 CDT*   18:16:45 CDT    71.4°    22:26:18 CDT   
M66                  11 20 15.0   +12 59 29    14:08:44 CDT*   18:18:03 CDT    71.3°    22:27:23 CDT   
M109                 11 57 36.0   +53 22 29    13:32:40 CDT*   18:55:18 CDT    68.3°    00:17:57 CDT   
M98                  12 13 48.3   +14 54 02    14:57:50 CDT*   19:11:27 CDT    73.2°    23:25:04 CDT   
M99                  12 18 49.6   +14 25 00    15:03:54 CDT*   19:16:27 CDT    72.7°    23:29:00 CDT   
M106                 12 18 57.6   +47 18 13    14:03:43 CDT*   19:16:33 CDT    74.4°    00:29:23 CDT   
M61                  12 21 54.9   +04 28 26    15:31:25 CDT*   19:19:32 CDT    62.8°    23:07:39 CDT   
M40                  12 22 12.0   +58 04 59    13:49:23 CDT*   19:19:45 CDT    63.6°    00:50:07 CDT   
M100                 12 22 54.9   +15 49 20    15:04:53 CDT*   19:20:32 CDT    74.1°    23:36:10 CDT   
M84                  12 25 03.7   +12 53 13    15:13:35 CDT*   19:22:40 CDT    71.2°    23:31:45 CDT   
M85                  12 25 24.1   +18 11 28    15:02:17 CDT*   19:23:00 CDT    76.5°    23:43:42 CDT   
M86                  12 26 11.8   +12 56 45    15:14:35 CDT*   19:23:48 CDT    71.3°    23:33:01 CDT   
M49                  12 29 46.8   +08 00 01    15:30:01 CDT*   19:27:22 CDT    66.3°    23:24:43 CDT   
M87                  12 30 49.4   +12 23 28    15:20:28 CDT*   19:28:24 CDT    70.7°    23:36:21 CDT   
M88                  12 31 59.2   +14 25 13    15:17:01 CDT*   19:29:34 CDT    72.7°    23:42:07 CDT   
M91                  12 35 26.4   +14 29 47    15:20:17 CDT*   19:33:01 CDT    72.8°    23:45:44 CDT   
M89                  12 35 39.8   +12 33 23    15:24:55 CDT*   19:33:14 CDT    70.9°    23:41:34 CDT   
M90                  12 36 49.8   +13 09 47    15:24:41 CDT*   19:34:24 CDT    71.5°    23:44:07 CDT   
M58                  12 37 43.5   +11 49 06    15:28:41 CDT*   19:35:17 CDT    70.1°    23:41:54 CDT   
