# Celestial Object Visibility Report
# Location: Lat=31.5473, Lon=-99.3827, Alt=446m
# Timezone: America/Chicago
# Evening Twilight Ends:    2025-11-20 19:00:52 CST  (LST: 22:24:31) East RA: 02 38 16.3  West RA: 18 08 09.3
# Sun Anti-Meridian:        2025-11-21 00:23:30 CST  (LST: 3:48:01)  East RA: 08 01 45.1  West RA: 23 31 29.9
# Morning Twilight Begins:  2025-11-21 05:46:07 CST  (LST: 9:11:32)  East RA: 13 25 28.9  West RA: 04 54 49.3
# Total Observable Objects in Report: 94
# Altitude Threshold: > 30.0 deg
# Objects included if: above 30° at evening twilight, OR transit is observable and above 30°, OR above 30° at morning twilight.
# Includes standard Messier objects and any custom objects defined in custom_objects.json.
# Times are based on direct astroplan calculations for the specified horizon.
# Times marked with '*' occur before evening twilight (rise) or after morning twilight (set).
# 'Circumpolar' indicates object remains above 30.0° for the entire night period.
#
Object               RA (J2000)   Dec (J2000)  Rise > 30°      Transit         Max Alt  Set < 30°      
M85                  12 25 24.1   +18 11 28    04:40:03 CST    09:00:45 CST    76.5°    13:21:27 CST*  
M86                  12 26 11.8   +12 56 45    04:52:20 CST    09:01:33 CST    71.3°    13:10:46 CST*  
M49                  12 29 46.8   +08 00 01    05:07:47 CST    09:05:08 CST    66.3°    13:02:29 CST*  
M87                  12 30 49.4   +12 23 28    04:58:14 CST    09:06:10 CST    70.7°    13:14:06 CST*  
M88                  12 31 59.2   +14 25 13    04:54:47 CST    09:07:19 CST    72.7°    13:19:52 CST*  
M91                  12 35 26.4   +14 29 47    04:58:03 CST    09:10:46 CST    72.8°    13:23:29 CST*  
M89                  12 35 39.8   +12 33 23    05:02:40 CST    09:10:59 CST    70.9°    13:19:18 CST*  
M90                  12 36 49.8   +13 09 47    05:02:26 CST    09:12:09 CST    71.5°    13:21:52 CST*  
M58                  12 37 43.5   +11 49 06    05:06:26 CST    09:13:03 CST    70.1°    13:19:39 CST*  
M59                  12 42 02.3   +11 38 49    05:11:08 CST    09:17:21 CST    70.0°    13:23:33 CST*  
SA104                12 43 10.2   -00 34 00    05:44:56 CST    09:18:30 CST    57.7°    12:52:03 CST*  
M60                  12 43 40.0   +11 33 10    05:12:59 CST    09:18:58 CST    69.9°    13:24:57 CST*  
M94                  12 50 53.1   +41 07 13    04:23:22 CST    09:26:05 CST    80.6°    14:28:47 CST*  
M64                  12 56 43.7   +21 40 58    05:04:07 CST    09:31:58 CST    80.0°    13:59:48 CST*  
M53                  13 12 55.2   +18 10 05    05:27:26 CST    09:48:06 CST    76.5°    14:08:46 CST*  
M63                  13 15 49.3   +42 01 46    04:46:40 CST    09:50:53 CST    79.7°    14:55:06 CST*  
M51                  13 29 52.7   +47 11 43    04:52:11 CST    10:04:50 CST    74.5°    15:17:29 CST*  
M3                   13 42 11.6   +28 22 38    05:36:34 CST    10:17:13 CST    86.7°    14:57:52 CST*  
M101                 14 03 12.6   +54 20 56    05:13:40 CST    10:37:54 CST    67.3°    16:02:08 CST*  
M92                  17 17 07.4   +43 08 09    08:48:52 CST*   13:55:05 CST    78.4°    19:01:18 CST   
SA38                 18 49 12.5   +45 15 42    10:17:06 CST*   15:26:53 CST    76.3°    20:36:40 CST   
M57                  18 53 35.1   +33 01 45    10:42:11 CST*   15:31:25 CST    88.5°    20:20:44 CST   
SA39                 19 01 04.0   +45 16 00    10:28:55 CST*   15:38:43 CST    76.2°    20:48:31 CST   
SA40                 19 07 48.0   +45 17 00    10:35:36 CST*   15:45:26 CST    76.2°    20:55:16 CST   
SA41                 19 14 32.0   +45 18 00    10:42:17 CST*   15:52:09 CST    76.2°    21:02:02 CST   
M56                  19 16 35.6   +30 11 00    11:10:12 CST*   15:54:25 CST    88.7°    20:38:43 CST   
M71                  19 53 46.5   +18 46 45    12:09:19 CST*   16:31:41 CST    77.3°    20:54:03 CST   
M27                  19 59 36.4   +22 43 16    12:07:08 CST*   16:37:28 CST    81.2°    21:07:47 CST   
M29                  20 23 46.3   +38 29 13    12:02:41 CST*   17:01:24 CST    83.0°    22:00:06 CST   
M72                  20 53 27.7   -12 32 14    14:41:36 CST*   17:31:29 CST    46.0°    20:21:21 CST   
M73                  20 59 00.0   -12 37 59    14:47:33 CST*   17:37:00 CST    45.9°    20:26:27 CST   
M15                  21 29 58.3   +12 10 01    13:59:42 CST*   18:07:43 CST    70.7°    22:15:44 CST   
M39                  21 31 33.4   +48 14 49    12:54:13 CST*   18:08:59 CST    73.2°    23:23:44 CST   
M2                   21 33 27.0   -00 49 24    14:37:43 CST*   18:11:16 CST    57.7°    21:44:49 CST   
M30                  21 40 22.1   -23 10 47    16:34:45 CST*   18:18:19 CST    35.4°    20:01:52 CST   
SA113                21 42 07.6   +00 22 31    14:42:43 CST*   18:19:55 CST    58.9°    21:57:07 CST   
SA114                22 01 04.0   +00 23 30    15:01:33 CST*   18:38:49 CST    59.0°    22:16:05 CST   
EE Cep               22 09 22.8   +55 45 24    13:19:44 CST*   18:46:42 CST    65.7°    00:13:40 CST   
NSVS 3350218         22 11 14.5   +66 02 16    13:03:33 CST*   18:48:21 CST    55.4°    00:33:09 CST   
ASAS J221652+2229.6  22 16 52.2   +22 29 34    14:24:29 CST*   18:54:28 CST    81.1°    23:24:27 CST   
M52                  23 24 46.8   +61 35 24    14:25:20 CST*   20:02:08 CST    59.8°    01:38:56 CST   
SA115                23 42 53.1   +01 05 49    16:40:57 CST*   20:20:22 CST    59.7°    23:59:46 CST   
ASAS J235139+2549.5  23 51 38.9   +25 49 30    15:52:40 CST*   20:29:05 CST    84.4°    01:05:31 CST   
NGC 7790             23 58 24.0   +61 12 30    14:59:41 CST*   20:35:50 CST    60.2°    02:11:58 CST   
