# Celestial Object Visibility Report
# Location: Lat=31.5473, Lon=-99.3827, Alt=446m
# Timezone: America/Chicago
# Observation Window (Astronomical Twilight): 2025-07-02 22:25:03 CDT to 2025-07-03 04:58:40 CDT
# LST Range: 15:33:11 to 22:07:53
# Sun Anti-Meridian (Approx. Local Midnight): 2025-07-03 01:41:52 CDT (LST: 18:50:32)
# Total Observable Objects in Report: 80
# Altitude Threshold: > 30.0 deg
# Objects included if: above 30° at evening twilight, OR transit is observable and above 30°, OR above 30° at morning twilight.
# Includes standard Messier objects and any custom objects defined in .env (ADDITIONAL_OBJECTS).
# Times are based on direct astroplan calculations for the specified horizon.
# Times marked with '*' occur before evening twilight (rise) or after morning twilight (set).
# 'Circumpolar' indicates object remains above 30.0° for the entire night period.
#
Object               RA (J2000)   Dec (J2000)  Rise > 30°      Transit         Max Alt  Set < 30°      
=======================================================================================================
M110                 00 40 22.1   +41 41 08    02:28:01 CDT    07:32:07 CDT    79.7°    12:36:15 CDT*  
M32                  00 42 41.8   +40 51 55    02:31:42 CDT    07:34:27 CDT    80.5°    12:37:13 CDT*  
M31                  00 42 44.3   +41 16 07    02:31:04 CDT    07:34:30 CDT    80.1°    12:37:55 CDT*  
M103                 01 33 21.4   +60 39 32    02:50:06 CDT    08:25:16 CDT    60.8°    14:00:26 CDT*  
M33                  01 33 50.9   +30 39 37    03:40:14 CDT    08:26:06 CDT    89.2°    13:10:46 CDT*  
M74                  01 36 41.7   +15 47 01    04:12:08 CDT    08:28:17 CDT    74.4°    12:44:25 CDT*  
M76                  01 42 19.7   +51 34 32    03:13:59 CDT    08:34:08 CDT    69.8°    13:54:17 CDT*  
M34                  02 42 07.4   +42 43 19    04:28:01 CDT    09:33:48 CDT    78.7°    14:39:33 CDT*  
M81                  09 55 33.2   +69 03 55    11:00:07 CDT*   16:50:23 CDT    52.6°    22:40:40 CDT   
M82                  09 55 52.4   +69 40 47    10:59:11 CDT*   16:50:44 CDT    52.0°    22:42:17 CDT   
M108                 11 11 31.0   +55 40 27    12:39:11 CDT*   18:05:35 CDT    66.0°    23:31:58 CDT   
M97                  11 14 47.7   +55 01 08    12:43:30 CDT*   18:08:50 CDT    66.7°    23:34:09 CDT   
M109                 11 57 36.0   +53 22 29    13:28:44 CDT*   18:51:22 CDT    68.3°    00:14:01 CDT   
M98                  12 13 48.3   +14 54 02    14:53:54 CDT*   19:07:30 CDT    73.2°    23:21:08 CDT   
M99                  12 18 49.6   +14 25 00    14:59:59 CDT*   19:12:32 CDT    72.7°    23:25:04 CDT   
M106                 12 18 57.6   +47 18 13    13:59:47 CDT*   19:12:37 CDT    74.4°    00:25:27 CDT   
M61                  12 21 54.9   +04 28 26    15:27:29 CDT*   19:15:36 CDT    62.8°    23:03:44 CDT   
M40                  12 22 12.0   +58 04 59    13:45:27 CDT*   19:15:49 CDT    63.6°    00:46:11 CDT   
M100                 12 22 54.9   +15 49 20    15:00:57 CDT*   19:16:35 CDT    74.1°    23:32:14 CDT   
M84                  12 25 03.7   +12 53 13    15:09:39 CDT*   19:18:44 CDT    71.2°    23:27:49 CDT   
M85                  12 25 24.1   +18 11 28    14:58:22 CDT*   19:19:03 CDT    76.5°    23:39:46 CDT   
M86                  12 26 11.8   +12 56 45    15:10:39 CDT*   19:19:52 CDT    71.3°    23:29:05 CDT   
M49                  12 29 46.8   +08 00 01    15:26:06 CDT*   19:23:27 CDT    66.3°    23:20:48 CDT   
M87                  12 30 49.4   +12 23 28    15:16:32 CDT*   19:24:29 CDT    70.7°    23:32:25 CDT   
M88                  12 31 59.2   +14 25 13    15:13:05 CDT*   19:25:38 CDT    72.7°    23:38:11 CDT   
M91                  12 35 26.4   +14 29 47    15:16:21 CDT*   19:29:04 CDT    72.8°    23:41:48 CDT   
M89                  12 35 39.8   +12 33 23    15:20:59 CDT*   19:29:18 CDT    70.9°    23:37:38 CDT   
M90                  12 36 49.8   +13 09 47    15:20:45 CDT*   19:30:28 CDT    71.5°    23:40:11 CDT   
