# Celestial Object Visibility Report
# Location: Lat=31.5473, Lon=-99.3827, Alt=446m
# Timezone: America/Chicago
# Evening Twilight Ends:    2025-12-11 19:01:34 CST  (LST: 23:48:00)  East RA: 04 01 43.1  West RA: 19 31 37.7
# Sun Anti-Meridian:        2025-12-12 00:31:15 CST  (LST: 05:18:36)  East RA: 09 32 21.7  West RA: 01 02 00.3
# Morning Twilight Begins:  2025-12-12 06:00:56 CST  (LST: 10:49:11)  East RA: 15 03 11.5  West RA: 06 32 28.1
# Total Observable Objects in Report: 93
# Altitude Threshold: > 30.0 deg
# Objects included if: above 30° at evening twilight, OR transit is observable and above 30°, OR above 30° at morning twilight.
# Includes standard Messier objects and any custom objects defined in custom_objects.json.
# Times are based on direct astroplan calculations for the specified horizon.
# Times marked with '*' occur before evening twilight (rise) or after morning twilight (set).
# 'Circumpolar' indicates object remains above 30.0° for the entire night period.
#
Object               RA (J2000)   Dec (J2000)  Rise > 30°      Transit         Max Alt  Set < 30°      
=======================================================================================================
M110                 00 40 22.1   +41 41 08    14:51:05 CST*   19:55:12 CST    79.7°    00:59:20 CST   
M32                  00 42 41.8   +40 51 55    14:54:46 CST*   19:57:32 CST    80.5°    01:00:18 CST   
M31                  00 42 44.3   +41 16 07    14:54:08 CST*   19:57:35 CST    80.1°    01:01:01 CST   
SA20                 00 45 51.2   +45 53 06    14:49:43 CST*   20:00:42 CST    75.5°    01:11:41 CST   
SA92                 00 55 15.5   +00 47 26    16:31:29 CST*   20:09:58 CST    59.4°    23:48:28 CST   
M103                 01 33 21.4   +60 39 32    15:13:12 CST*   20:48:23 CST    60.8°    02:23:33 CST   
M33                  01 33 50.9   +30 39 37    16:03:19 CST*   20:48:35 CST    89.2°    01:33:52 CST   
M74                  01 36 41.7   +15 47 01    16:35:13 CST*   20:51:22 CST    74.4°    01:07:31 CST   
M76                  01 42 19.7   +51 34 32    15:37:04 CST*   20:57:14 CST    69.8°    02:17:24 CST   
M34                  02 42 07.4   +42 43 19    16:51:08 CST*   21:56:54 CST    78.7°    03:02:40 CST   
M77                  02 42 40.7   -00 00 48    18:21:06 CST*   21:57:06 CST    58.6°    01:33:07 CST   
Algol                03 08 10.1   +40 57 20    17:20:03 CST*   22:22:54 CST    80.5°    03:25:45 CST   
M45                  03 46 24.2   +24 06 50    18:27:50 CST*   23:00:53 CST    82.6°    03:33:55 CST   
SA95                 03 54 26.8   +00 13 48    19:32:03 CST    23:08:41 CST    58.8°    02:45:19 CST   
M79                  05 24 10.6   -24 31 27    23:08:34 CST    00:37:55 CST    34.0°    02:07:15 CST   
M38                  05 28 40.1   +35 49 26    19:48:59 CST    00:43:04 CST    85.7°    05:37:09 CST   
M1                   05 34 31.8   +22 01 03    20:19:54 CST    00:48:44 CST    80.5°    05:17:33 CST   
M42                  05 35 16.8   -05 23 15    21:31:00 CST    00:49:11 CST    53.1°    04:07:23 CST   
M43                  05 35 31.0   -05 16 12    21:30:49 CST    00:49:26 CST    53.2°    04:08:02 CST   
M36                  05 36 20.2   +34 08 06    19:59:31 CST    00:50:42 CST    87.4°    05:41:52 CST   
M78                  05 46 45.8   +00 04 45    21:24:43 CST    01:00:42 CST    58.5°    04:36:41 CST   
M37                  05 52 17.8   +32 32 42    20:18:12 CST    01:06:40 CST    89.0°    05:54:58 CST   
M35                  06 09 05.3   +24 20 10    20:49:55 CST    01:23:13 CST    82.8°    05:56:31 CST   
M41                  06 45 59.8   -20 42 58    23:57:07 CST    01:59:33 CST    37.7°    04:01:59 CST   
SA98                 06 52 03.5   -00 19 27    22:31:10 CST    02:05:48 CST    58.1°    05:40:26 CST   
M50                  07 02 44.2   -08 21 54    23:09:27 CST    02:16:23 CST    50.1°    05:23:19 CST   
M47                  07 36 35.3   -14 29 20    00:10:18 CST    02:50:05 CST    43.9°    05:29:51 CST   
M46                  07 41 46.8   -14 50 38    00:17:18 CST    02:55:15 CST    43.5°    05:33:13 CST   
M93                  07 44 33.8   -23 51 11    01:22:29 CST    02:57:56 CST    34.5°    04:33:23 CST   
M48                  08 13 38.9   -05 43 34    00:10:28 CST    03:27:07 CST    52.6°    06:43:46 CST*  
M44                  08 40 13.0   +19 37 16    23:30:03 CST    03:53:50 CST    78.0°    08:17:36 CST*  
M67                  08 51 23.0   +11 48 50    23:58:11 CST    04:04:53 CST    70.2°    08:11:36 CST*  
M81                  09 55 33.2   +69 03 55    23:19:21 CST    05:09:36 CST    52.6°    10:59:51 CST*  
M82                  09 55 52.4   +69 40 47    23:18:25 CST    05:09:57 CST    52.0°    11:01:28 CST*  
SA101                09 56 35.0   -00 29 46    01:35:59 CST    05:09:49 CST    57.8°    08:43:38 CST*  
M95                  10 43 57.7   +11 42 13    01:50:45 CST    05:57:06 CST    70.0°    10:03:27 CST*  
M96                  10 46 45.7   +11 49 12    01:53:16 CST    05:59:54 CST    70.1°    10:06:31 CST*  
M105                 10 47 49.6   +12 34 54    01:52:34 CST    06:00:57 CST    70.9°    10:09:21 CST*  
M108                 11 11 31.0   +55 40 27    00:58:21 CST    06:24:44 CST    66.0°    11:51:06 CST*  
M97                  11 14 47.7   +55 01 08    01:02:41 CST    06:27:59 CST    66.7°    11:53:17 CST*  
M65                  11 18 55.9   +13 05 32    02:22:25 CST    06:31:58 CST    71.4°    10:41:30 CST*  
M66                  11 20 15.0   +12 59 29    02:23:57 CST    06:33:16 CST    71.3°    10:42:35 CST*  
M109                 11 57 36.0   +53 22 29    01:47:53 CST    07:10:30 CST    68.3°    12:33:07 CST*  
M98                  12 13 48.3   +14 54 02    03:13:02 CST    07:26:39 CST    73.2°    11:40:15 CST*  
M99                  12 18 49.6   +14 25 00    03:19:07 CST    07:31:39 CST    72.7°    11:44:11 CST*  
M106                 12 18 57.6   +47 18 13    02:18:57 CST    07:31:45 CST    74.4°    12:44:33 CST*  
M61                  12 21 54.9   +04 28 26    03:46:37 CST    07:34:44 CST    62.8°    11:22:51 CST*  
M40                  12 22 12.0   +58 04 59    02:04:36 CST    07:34:56 CST    63.6°    13:05:17 CST*  
M100                 12 22 54.9   +15 49 20    03:20:06 CST    07:35:43 CST    74.1°    11:51:21 CST*  
M84                  12 25 03.7   +12 53 13    03:28:47 CST    07:37:52 CST    71.2°    11:46:56 CST*  
M85                  12 25 24.1   +18 11 28    03:17:30 CST    07:38:12 CST    76.5°    11:58:53 CST*  
M86                  12 26 11.8   +12 56 45    03:29:47 CST    07:39:00 CST    71.3°    11:48:12 CST*  
M49                  12 29 46.8   +08 00 01    03:45:14 CST    07:42:34 CST    66.3°    11:39:55 CST*  
M87                  12 30 49.4   +12 23 28    03:35:40 CST    07:43:36 CST    70.7°    11:51:32 CST*  
M88                  12 31 59.2   +14 25 13    03:32:13 CST    07:44:46 CST    72.7°    11:57:18 CST*  
M91                  12 35 26.4   +14 29 47    03:35:30 CST    07:48:12 CST    72.8°    12:00:55 CST*  
M89                  12 35 39.8   +12 33 23    03:40:07 CST    07:48:26 CST    70.9°    11:56:45 CST*  
M90                  12 36 49.8   +13 09 47    03:39:53 CST    07:49:35 CST    71.5°    11:59:18 CST*  
M58                  12 37 43.5   +11 49 06    03:43:53 CST    07:50:29 CST    70.1°    11:57:05 CST*  
M104                 12 39 59.4   -11 37 23    04:59:51 CST    07:52:47 CST    46.7°    10:45:43 CST*  
M59                  12 42 02.3   +11 38 49    03:48:35 CST    07:54:47 CST    70.0°    12:00:59 CST*  
SA104                12 43 10.2   -00 34 00    04:22:23 CST    07:55:56 CST    57.7°    11:29:29 CST*  
M60                  12 43 40.0   +11 33 10    03:50:26 CST    07:56:24 CST    69.9°    12:02:23 CST*  
M94                  12 50 53.1   +41 07 13    03:00:49 CST    08:03:31 CST    80.6°    13:06:14 CST*  
M64                  12 56 43.7   +21 40 58    03:41:34 CST    08:09:24 CST    80.0°    12:37:14 CST*  
M53                  13 12 55.2   +18 10 05    04:04:53 CST    08:25:33 CST    76.5°    12:46:12 CST*  
M63                  13 15 49.3   +42 01 46    03:24:07 CST    08:28:20 CST    79.7°    13:32:33 CST*  
M51                  13 29 52.7   +47 11 43    03:29:38 CST    08:42:16 CST    74.5°    13:54:55 CST*  
M3                   13 42 11.6   +28 22 38    04:14:01 CST    08:54:40 CST    86.7°    13:35:18 CST*  
M101                 14 03 12.6   +54 20 56    03:51:06 CST    09:15:20 CST    67.3°    14:39:34 CST*  
M102                 15 06 29.6   +55 45 48    04:51:39 CST    10:18:14 CST    65.9°    15:44:49 CST*  
TZ Boo               15 08 09.1   +39 58 13    05:19:17 CST    10:20:09 CST    81.7°    15:21:01 CST*  
SA38                 18 49 12.5   +45 15 42    08:54:32 CST*   14:04:19 CST    76.3°    19:14:05 CST   
SA39                 19 01 04.0   +45 16 00    09:06:20 CST*   14:16:09 CST    76.2°    19:25:57 CST   
SA40                 19 07 48.0   +45 17 00    09:13:02 CST*   14:22:52 CST    76.2°    19:32:42 CST   
SA41                 19 14 32.0   +45 18 00    09:19:43 CST*   14:29:35 CST    76.2°    19:39:27 CST   
M56                  19 16 35.6   +30 11 00    09:47:37 CST*   14:31:55 CST    88.7°    19:16:08 CST   
M71                  19 53 46.5   +18 46 45    10:46:44 CST*   15:09:07 CST    77.3°    19:31:29 CST   
M27                  19 59 36.4   +22 43 16    10:44:34 CST*   15:14:53 CST    81.2°    19:45:12 CST   
M29                  20 23 46.3   +38 29 13    10:40:07 CST*   15:38:49 CST    83.0°    20:37:32 CST   
M73                  20 59 00.0   -12 37 59    13:24:59 CST*   16:14:26 CST    45.9°    19:03:53 CST   
M15                  21 29 58.3   +12 10 01    12:37:08 CST*   16:45:09 CST    70.7°    20:53:10 CST   
