# Celestial Object Visibility Report
# Location: Lat=31.5473, Lon=-99.3827, Alt=446m
# Timezone: America/Chicago
# Evening Twilight Ends:    2025-09-28 20:46:34 CDT  (LST: 19:41:23)  East RA: 23 55 15.4  West RA: 15 24 59.6
# Sun Anti-Meridian:        2025-09-29 01:28:02 CDT  (LST: 0:23:37)  East RA: 04 37 20.9  West RA: 20 07 12.8
# Morning Twilight Begins:  2025-09-29 06:09:30 CDT  (LST: 5:05:51)  East RA: 09 19 38.7  West RA: 00 49 16.0
# Total Observable Objects in Report: 78
# Altitude Threshold: > 30.0 deg
# Objects included if: above 30° at evening twilight, OR transit is observable and above 30°, OR above 30° at morning twilight.
# Includes standard Messier objects and any custom objects defined in custom_objects.json.
# Times are based on direct astroplan calculations for the specified horizon.
# Times marked with '*' occur before evening twilight (rise) or after morning twilight (set).
# 'Circumpolar' indicates object remains above 30.0° for the entire night period.
#
Object               RA (J2000)   Dec (J2000)  Rise > 30°      Transit         Max Alt  Set < 30°      
=======================================================================================================
M110                 00 40 22.1   +41 41 08    20:42:03 CDT*   01:46:10 CDT    79.7°    06:50:17 CDT*  
M32                  00 42 41.8   +40 51 55    20:45:44 CDT*   01:48:29 CDT    80.5°    06:51:15 CDT*  
M31                  00 42 44.3   +41 16 07    20:45:06 CDT*   01:48:32 CDT    80.1°    06:51:58 CDT*  
SA20                 00 45 51.2   +45 53 06    20:40:41 CDT*   01:51:40 CDT    75.5°    07:02:38 CDT*  
SA92                 00 55 15.5   +00 47 26    22:22:26 CDT    02:00:56 CDT    59.4°    05:39:26 CDT   
M103                 01 33 21.4   +60 39 32    21:04:10 CDT    02:39:20 CDT    60.8°    08:14:30 CDT*  
M33                  01 33 50.9   +30 39 37    21:54:17 CDT    02:39:39 CDT    89.2°    07:24:49 CDT*  
M74                  01 36 41.7   +15 47 01    22:26:10 CDT    02:42:19 CDT    74.4°    06:58:28 CDT*  
M76                  01 42 19.7   +51 34 32    21:28:02 CDT    02:48:11 CDT    69.8°    08:08:20 CDT*  
