# Celestial Object Visibility Report
# Location: Lat=31.5473, Lon=-99.3827, Alt=446m
# Timezone: America/Chicago
# Evening Twilight Ends:    2025-09-30 20:43:57 CDT  (LST: 19:46:39)  East RA: 00 00 30.6  West RA: 15 30 15.2
# Sun Anti-Meridian:        2025-10-01 01:27:23 CDT  (LST: 0:30:51)  East RA: 04 44 34.4  West RA: 20 14 26.3
# Morning Twilight Begins:  2025-10-01 06:10:48 CDT  (LST: 5:15:03)  East RA: 09 28 51.0  West RA: 00 58 27.6
# Total Observable Objects in Report: 78
# Altitude Threshold: > 30.0 deg
# Objects included if: above 30° at evening twilight, OR transit is observable and above 30°, OR above 30° at morning twilight.
# Includes standard Messier objects and any custom objects defined in custom_objects.json.
# Times are based on direct astroplan calculations for the specified horizon.
# Times marked with '*' occur before evening twilight (rise) or after morning twilight (set).
# 'Circumpolar' indicates object remains above 30.0° for the entire night period.
#
Object               RA (J2000)   Dec (J2000)  Rise > 30°      Transit         Max Alt  Set < 30°      
=======================================================================================================
M110                 00 40 22.1   +41 41 08    20:34:11 CDT*   01:38:18 CDT    79.7°    06:42:25 CDT*  
M32                  00 42 41.8   +40 51 55    20:37:52 CDT*   01:40:38 CDT    80.5°    06:43:24 CDT*  
M31                  00 42 44.3   +41 16 07    20:37:14 CDT*   01:40:40 CDT    80.1°    06:44:06 CDT*  
SA20                 00 45 51.2   +45 53 06    20:32:50 CDT*   01:43:48 CDT    75.5°    06:54:47 CDT*  
SA92                 00 55 15.5   +00 47 26    22:14:34 CDT    01:53:04 CDT    59.4°    05:31:34 CDT   
M103                 01 33 21.4   +60 39 32    20:56:18 CDT    02:31:28 CDT    60.8°    08:06:38 CDT*  
M33                  01 33 50.9   +30 39 37    21:46:25 CDT    02:31:40 CDT    89.2°    07:16:57 CDT*  
M74                  01 36 41.7   +15 47 01    22:18:18 CDT    02:34:27 CDT    74.4°    06:50:36 CDT*  
M76                  01 42 19.7   +51 34 32    21:20:10 CDT    02:40:19 CDT    69.8°    08:00:28 CDT*  
M34                  02 42 07.4   +42 43 19    22:34:13 CDT    03:39:59 CDT    78.7°    08:45:45 CDT*  
M77                  02 42 40.7   -00 00 48    00:04:11 CDT    03:40:11 CDT    58.6°    07:16:12 CDT*  
Algol                03 08 10.1   +40 57 20    23:03:08 CDT    04:05:58 CDT    80.5°    09:08:49 CDT*  
M45                  03 46 24.2   +24 06 50    00:10:55 CDT    04:43:57 CDT    82.6°    09:16:59 CDT*  
SA95                 03 54 26.8   +00 13 48    01:15:07 CDT    04:51:46 CDT    58.8°    08:28:24 CDT*  
M79                  05 24 10.6   -24 31 27    04:51:36 CDT    06:20:59 CDT    34.0°    07:50:22 CDT*  
M38                  05 28 40.1   +35 49 26    01:32:02 CDT    06:26:07 CDT    85.7°    11:20:13 CDT*  
M1                   05 34 31.8   +22 01 03    02:02:58 CDT    06:31:47 CDT    80.5°    11:00:37 CDT*  
M42                  05 35 16.8   -05 23 15    03:14:03 CDT    06:32:15 CDT    53.1°    09:50:27 CDT*  
M43                  05 35 31.0   -05 16 12    03:13:53 CDT    06:32:29 CDT    53.2°    09:51:06 CDT*  
M36                  05 36 20.2   +34 08 06    01:42:34 CDT    06:33:44 CDT    87.4°    11:24:55 CDT*  
M78                  05 46 45.8   +00 04 45    03:07:46 CDT    06:43:45 CDT    58.5°    10:19:45 CDT*  
M37                  05 52 17.8   +32 32 42    02:01:16 CDT    06:49:33 CDT    89.0°    11:38:01 CDT*  
M35                  06 09 05.3   +24 20 10    02:32:58 CDT    07:06:17 CDT    82.8°    11:39:35 CDT*  
M41                  06 45 59.8   -20 42 58    05:40:09 CDT    07:42:37 CDT    37.7°    09:45:05 CDT*  
SA98                 06 52 03.5   -00 19 27    04:14:13 CDT    07:48:52 CDT    58.1°    11:23:30 CDT*  
M50                  07 02 44.2   -08 21 54    04:52:29 CDT    07:59:26 CDT    50.1°    11:06:23 CDT*  
M47                  07 36 35.3   -14 29 20    05:53:21 CDT    08:33:08 CDT    43.9°    11:12:56 CDT*  
M46                  07 41 46.8   -14 50 38    06:00:20 CDT    08:38:19 CDT    43.6°    11:16:17 CDT*  
M48                  08 13 38.9   -05 43 34    05:53:31 CDT    09:10:11 CDT    52.7°    12:26:50 CDT*  
M44                  08 40 13.0   +19 37 16    05:13:06 CDT    09:36:53 CDT    78.0°    14:00:39 CDT*  
M67                  08 51 23.0   +11 48 50    05:41:14 CDT    09:47:57 CDT    70.2°    13:54:39 CDT*  
M81                  09 55 33.2   +69 03 55    05:02:21 CDT    10:52:36 CDT    52.6°    16:42:52 CDT*  
M82                  09 55 52.4   +69 40 47    05:01:25 CDT    10:52:57 CDT    52.0°    16:44:29 CDT*  
M102                 15 06 29.6   +55 45 48    10:38:39 CDT*   16:05:15 CDT    65.9°    21:31:51 CDT   
