# Celestial Object Visibility Report
# Location: Lat=31.5473, Lon=-99.3827, Alt=446m
# Timezone: America/Chicago
# Evening Twilight Ends:    2025-10-09 20:32:45 CDT  (LST: 20:10:53)  East RA: 00 24 44.3  West RA: 15 54 30.6
# Sun Anti-Meridian:        2025-10-10 01:24:42 CDT  (LST: 1:03:39)  East RA: 05 17 21.8  West RA: 20 47 13.3
# Morning Twilight Begins:  2025-10-10 06:16:39 CDT  (LST: 5:56:24)  East RA: 10 10 13.2  West RA: 01 39 46.8
# Total Observable Objects in Report: 58
# Altitude Threshold: > 30.0 deg
# Objects included if: above 30° at evening twilight, OR transit is observable and above 30°, OR above 30° at morning twilight.
# Includes standard Messier objects and any custom objects defined in custom_objects.json.
# Times are based on direct astroplan calculations for the specified horizon.
# Times marked with '*' occur before evening twilight (rise) or after morning twilight (set).
# 'Circumpolar' indicates object remains above 30.0° for the entire night period.
#
Object               RA (J2000)   Dec (J2000)  Rise > 30°      Transit         Max Alt  Set < 30°      
=======================================================================================================
M110                 00 40 22.1   +41 41 08    19:58:48 CDT*   01:02:55 CDT    79.7°    06:07:02 CDT   
M32                  00 42 41.8   +40 51 55    20:02:29 CDT*   01:05:15 CDT    80.5°    06:08:01 CDT   
M31                  00 42 44.3   +41 16 07    20:01:51 CDT*   01:05:17 CDT    80.1°    06:08:43 CDT   
M103                 01 33 21.4   +60 39 32    20:20:55 CDT*   01:56:05 CDT    60.8°    07:31:15 CDT*  
M33                  01 33 50.9   +30 39 37    21:11:02 CDT    01:56:23 CDT    89.2°    06:41:34 CDT*  
M74                  01 36 41.7   +15 47 01    21:42:55 CDT    01:59:04 CDT    74.4°    06:15:13 CDT   
M76                  01 42 19.7   +51 34 32    20:44:47 CDT    02:04:56 CDT    69.8°    07:25:05 CDT*  
M34                  02 42 07.4   +42 43 19    21:58:50 CDT    03:04:36 CDT    78.7°    08:10:22 CDT*  
M77                  02 42 40.7   -00 00 48    23:28:48 CDT    03:04:48 CDT    58.6°    06:40:49 CDT*  
M45                  03 46 24.2   +24 06 50    23:35:32 CDT    04:08:34 CDT    82.6°    08:41:37 CDT*  
M79                  05 24 10.6   -24 31 27    04:16:13 CDT    05:45:36 CDT    34.0°    07:14:59 CDT*  
M38                  05 28 40.1   +35 49 26    00:56:39 CDT    05:50:44 CDT    85.7°    10:44:50 CDT*  
M1                   05 34 31.8   +22 01 03    01:27:35 CDT    05:56:25 CDT    80.5°    10:25:14 CDT*  
M42                  05 35 16.8   -05 23 15    02:38:40 CDT    05:56:52 CDT    53.1°    09:15:04 CDT*  
M43                  05 35 31.0   -05 16 12    02:38:30 CDT    05:57:06 CDT    53.2°    09:15:43 CDT*  
M36                  05 36 20.2   +34 08 06    01:07:12 CDT    05:58:21 CDT    87.4°    10:49:32 CDT*  
M78                  05 46 45.8   +00 04 45    02:32:23 CDT    06:08:23 CDT    58.5°    09:44:22 CDT*  
M37                  05 52 17.8   +32 32 42    01:25:53 CDT    06:14:11 CDT    89.0°    11:02:38 CDT*  
M35                  06 09 05.3   +24 20 10    01:57:36 CDT    06:30:54 CDT    82.8°    11:04:12 CDT*  
M41                  06 45 59.8   -20 42 58    05:04:46 CDT    07:07:14 CDT    37.7°    09:09:42 CDT*  
