# Messier Object Visibility Report
# Location: Lat=31.5473, Lon=-99.3827, Alt=446m
# Timezone: America/Chicago
# Observation Window: 2025-04-16 21:32:35 CDT to 2025-04-17 05:41:08 CDT
# LST Range: 9:37:00 to 17:46:53
# Sun Anti-Meridian: 2025-04-17 01:36:51 CDT
# LST at Sun Anti-Meridian: 13:41:56
# Total Observable Objects: 80
# Altitude Threshold: > 30.0 deg
# Note: Objects included if above 30° at evening twilight, observable transit, or morning twilight.
# Note: Times are based on direct astroplan calculations.
# Note: Times marked with '*' occur before evening twilight (rise) or after morning twilight (set).
# Note: Circumpolar objects have declination > (90 - latitude) degrees.
#
Object   RA (J2000)   Dec (J2000)  Rise > 30°      Transit         Max Alt  Set < 30°      
M4       16 23 35.2   -26 31 33    03:17:43 CDT    04:19:38 CDT    31.9°    05:21:33 CDT   
M107     16 32 31.9   -13 03 14    01:41:40 CDT    04:28:25 CDT    45.3°    07:15:10 CDT*  
M13      16 41 41.6   +36 27 41    23:42:00 CDT    04:37:07 CDT    85.1°    09:32:06 CDT*  
M12      16 47 14.2   -01 56 55    01:13:29 CDT    04:42:59 CDT    56.5°    08:12:29 CDT*  
M10      16 57 09.0   -04 06 01    01:30:27 CDT    04:52:53 CDT    54.3°    08:15:20 CDT*  
M19      17 02 37.7   -26 16 05    03:52:10 CDT    04:58:35 CDT    32.1°    06:05:00 CDT*  
M92      17 17 07.4   +43 08 09    00:06:02 CDT    05:12:15 CDT    78.4°    10:18:28 CDT*  
M9       17 19 11.8   -18 30 58    02:57:42 CDT    05:15:01 CDT    39.9°    07:32:20 CDT*  
M14      17 37 36.2   -03 14 45    02:07:50 CDT    05:33:13 CDT    55.2°    08:58:36 CDT*  
M23      17 56 56.9   -18 59 13    03:38:11 CDT    05:52:40 CDT    39.5°    08:07:09 CDT*  
M20      18 02 42.0   -22 58 18    04:14:07 CDT    05:58:27 CDT    35.5°    07:42:47 CDT*  
M8       18 03 37.0   -24 23 12    04:28:55 CDT    05:59:23 CDT    34.1°    07:29:51 CDT*  
M21      18 04 08.6   -22 30 18    04:11:27 CDT    05:59:53 CDT    35.9°    07:48:19 CDT*  
M24      18 16 48.0   -18 33 00    03:55:08 CDT    06:12:28 CDT    39.9°    08:29:47 CDT*  
M16      18 18 45.1   -13 47 31    03:30:49 CDT    06:14:22 CDT    44.7°    08:57:54 CDT*  
M18      18 19 57.4   -17 05 20    03:49:28 CDT    06:15:36 CDT    41.4°    08:41:44 CDT*  
M17      18 20 47.0   -16 10 18    03:45:09 CDT    06:16:25 CDT    42.3°    08:47:40 CDT*  
M28      18 24 32.9   -24 52 11    04:54:57 CDT    06:20:16 CDT    33.6°    07:45:34 CDT*  
M25      18 31 44.9   -19 06 50    04:13:35 CDT    06:27:22 CDT    39.4°    08:41:10 CDT*  
M22      18 36 23.9   -23 54 17    04:56:21 CDT    06:32:04 CDT    34.6°    08:07:47 CDT*  
M26      18 45 16.1   -09 23 10    03:37:38 CDT    06:40:45 CDT    49.1°    09:43:52 CDT*  
M11      18 51 03.8   -06 16 19    03:31:27 CDT    06:46:30 CDT    52.2°    10:01:33 CDT*  
M57      18 53 35.1   +33 01 45    01:59:20 CDT    06:48:13 CDT    88.5°    11:37:52 CDT*  
M56      19 16 35.6   +30 11 00    02:27:20 CDT    07:11:59 CDT    88.7°    11:55:50 CDT*  
M71      19 53 46.5   +18 46 45    03:26:27 CDT    07:48:48 CDT    77.3°    12:11:10 CDT*  
M27      19 59 36.4   +22 43 16    03:24:17 CDT    07:54:34 CDT    81.2°    12:24:53 CDT*  
M29      20 23 46.3   +38 29 13    03:19:50 CDT    08:18:32 CDT    83.0°    13:17:13 CDT*  
M15      21 29 58.3   +12 10 01    05:16:50 CDT    09:24:49 CDT    70.7°    13:32:49 CDT*  
M39      21 31 33.4   +48 14 49    04:11:21 CDT    09:26:05 CDT    73.2°    14:40:50 CDT*  
