# Celestial Object Visibility Report
# Location: Lat=31.5473, Lon=-99.3827, Alt=446m
# Timezone: America/Chicago
# Evening Twilight Ends:    2025-09-07 21:15:51 CDT  (LST: 18:47:57)  East RA: 23 01 51.1  West RA: 14 31 31.5
# Sun Anti-Meridian:        2025-09-08 01:35:24 CDT  (LST: 23:08:12)  East RA: 03 21 57.9  West RA: 18 51 49.2
# Morning Twilight Begins:  2025-09-08 05:54:57 CDT  (LST: 3:28:28)  East RA: 07 42 13.4  West RA: 23 11 57.0
# Total Observable Objects in Report: 74
# Altitude Threshold: > 30.0 deg
# Objects included if: above 30° at evening twilight, OR transit is observable and above 30°, OR above 30° at morning twilight.
# Includes standard Messier objects and any custom objects defined in custom_objects.json.
# Times are based on direct astroplan calculations for the specified horizon.
# Times marked with '*' occur before evening twilight (rise) or after morning twilight (set).
# 'Circumpolar' indicates object remains above 30.0° for the entire night period.
#
Object               RA (J2000)   Dec (J2000)  Rise > 30°      Transit         Max Alt  Set < 30°      
=======================================================================================================
M110                 00 40 22.1   +41 41 08    22:04:37 CDT    03:08:44 CDT    79.7°    08:12:51 CDT*  
M32                  00 42 41.8   +40 51 55    22:08:18 CDT    03:11:03 CDT    80.5°    08:13:49 CDT*  
M31                  00 42 44.3   +41 16 07    22:07:40 CDT    03:11:06 CDT    80.1°    08:14:32 CDT*  
SA20                 00 45 51.2   +45 53 06    22:03:15 CDT    03:14:14 CDT    75.5°    08:25:12 CDT*  
SA92                 00 55 15.5   +00 47 26    23:45:00 CDT    03:23:30 CDT    59.4°    07:01:59 CDT*  
M103                 01 33 21.4   +60 39 32    22:26:44 CDT    04:01:53 CDT    60.8°    09:37:03 CDT*  
M33                  01 33 50.9   +30 39 37    23:16:51 CDT    04:02:11 CDT    89.2°    08:47:22 CDT*  
M74                  01 36 41.7   +15 47 01    23:48:44 CDT    04:04:53 CDT    74.4°    08:21:02 CDT*  
M76                  01 42 19.7   +51 34 32    22:50:35 CDT    04:10:44 CDT    69.8°    09:30:54 CDT*  
M34                  02 42 07.4   +42 43 19    00:04:38 CDT    05:10:24 CDT    78.7°    10:16:10 CDT*  
M77                  02 42 40.7   -00 00 48    01:34:36 CDT    05:10:37 CDT    58.6°    08:46:37 CDT*  
Algol                03 08 10.1   +40 57 20    00:33:33 CDT    05:36:23 CDT    80.5°    10:39:14 CDT*  
M45                  03 46 24.2   +24 06 50    01:41:20 CDT    06:14:22 CDT    82.6°    10:47:25 CDT*  
SA95                 03 54 26.8   +00 13 48    02:45:32 CDT    06:22:11 CDT    58.8°    09:58:49 CDT*  
M38                  05 28 40.1   +35 49 26    03:02:27 CDT    07:56:32 CDT    85.7°    12:50:38 CDT*  
M1                   05 34 31.8   +22 01 03    03:33:23 CDT    08:02:12 CDT    80.5°    12:31:02 CDT*  
M42                  05 35 16.8   -05 23 15    04:44:29 CDT    08:02:40 CDT    53.1°    11:20:52 CDT*  
M43                  05 35 31.0   -05 16 12    04:44:18 CDT    08:02:55 CDT    53.2°    11:21:31 CDT*  
M36                  05 36 20.2   +34 08 06    03:12:59 CDT    08:04:10 CDT    87.4°    12:55:20 CDT*  
M78                  05 46 45.8   +00 04 45    04:38:11 CDT    08:14:11 CDT    58.5°    11:50:10 CDT*  
M37                  05 52 17.8   +32 32 42    03:31:41 CDT    08:20:07 CDT    89.0°    13:08:26 CDT*  
M35                  06 09 05.3   +24 20 10    04:03:24 CDT    08:36:42 CDT    82.8°    13:10:00 CDT*  
SA98                 06 52 03.5   -00 19 27    05:44:39 CDT    09:19:17 CDT    58.1°    12:53:56 CDT*  
M101                 14 03 12.6   +54 20 56    11:08:32 CDT*   16:32:47 CDT    67.3°    21:57:02 CDT   
M102                 15 06 29.6   +55 45 48    12:09:06 CDT*   17:35:42 CDT    65.9°    23:02:18 CDT   
TZ Boo               15 08 09.1   +39 58 13    12:36:44 CDT*   17:37:37 CDT    81.7°    22:38:30 CDT   
M5                   15 18 33.2   +02 04 52    14:06:45 CDT*   17:48:19 CDT    60.4°    21:29:54 CDT   
SA107                15 38 48.6   -00 13 29    14:33:46 CDT*   18:08:32 CDT    58.1°    21:43:19 CDT   
M107                 16 32 31.9   -13 03 14    16:15:28 CDT*   19:02:14 CDT    45.3°    21:49:01 CDT   
M13                  16 41 41.6   +36 27 41    14:15:48 CDT*   19:10:51 CDT    85.1°    00:05:55 CDT   
M12                  16 47 14.2   -01 56 55    15:47:17 CDT*   19:16:48 CDT    56.5°    22:46:19 CDT   
PG 1648+536          16 49 59.9   +53 29 16    13:55:50 CDT*   19:18:48 CDT    68.1°    00:41:47 CDT   
M10                  16 57 09.0   -04 06 01    16:04:16 CDT*   19:26:43 CDT    54.3°    22:49:10 CDT   
M92                  17 17 07.4   +43 08 09    14:39:50 CDT*   19:46:04 CDT    78.4°    00:52:17 CDT   
M9                   17 19 11.8   -18 30 58    17:31:30 CDT*   19:48:51 CDT    39.9°    22:06:12 CDT   
M14                  17 37 36.2   -03 14 45    16:41:39 CDT*   20:07:03 CDT    55.2°    23:32:27 CDT   
M23                  17 56 56.9   -18 59 13    18:12:00 CDT*   20:26:30 CDT    39.5°    22:41:00 CDT   
M20                  18 02 42.0   -22 58 18    18:47:54 CDT*   20:32:17 CDT    35.5°    22:16:41 CDT   
M8                   18 03 37.0   -24 23 12    19:02:40 CDT*   20:33:13 CDT    34.1°    22:03:46 CDT   
M21                  18 04 08.6   -22 30 18    18:45:14 CDT*   20:33:43 CDT    35.9°    22:22:13 CDT   
M24                  18 16 48.0   -18 33 00    18:28:56 CDT*   20:46:18 CDT    39.9°    23:03:40 CDT   
M16                  18 18 45.1   -13 47 31    18:04:39 CDT*   20:48:12 CDT    44.7°    23:31:45 CDT   
